"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","Q88_First.Click","Q88_Last.Click","Q88_Page.Submit","Q88_Click.Count","Q84_First.Click","Q84_Last.Click","Q84_Page.Submit","Q84_Click.Count","vA_liable_AV_1","vB_mnfctr_liable_AV_1","vA_cntrfctl_AV_1","vB_cntrfctl_AV_1","avoid_AV_1","Q87_First.Click","Q87_Last.Click","Q87_Page.Submit","Q87_Click.Count","Q82_First.Click","Q82_Last.Click","Q82_Page.Submit","Q82_Click.Count","vA_liable_1","vB_driver_liable_1","vB_mnfctr_liable_1","vA_cntrfctl_1","vB_cntrfctl_1","avoid_1","comp1","comp_accident","ai_familiarity_1","gender","gender_4_TEXT","age","edu","edu_8_TEXT","FL_4_DO","questions_1_AV_DO","questions_2_AV_DO","questions_1_DO","questions_2_DO"
"Start Date","End Date","Response Type","NA","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","NA","NA","Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: Vehicle B could have done more to avoid the accident. - 1","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The driver of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: Vehicle B could have done more to avoid the accident. - 1","Which of the following was true about Vehicle B?","Which of the following was true about the video?","Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","FL_4 - Block Randomizer - Display Order","questions_1_AV - Display Order","questions_2_AV - Display Order","questions_1 - Display Order","questions_2 - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","NA","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","NA","NA","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""BL_9v5jJo3sYsvnnW6_DO""}","{""ImportId"":""BL_43jZUoIM0dGNdPw_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}"
"2023-04-02 12:06:47","2023-04-02 12:07:18","0","NA","100","30","1","2023-04-02 12:07:18","R_2V7TEGhETDIavlA","","","","","NA","NA","anonymous","EN","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-04-02 12:06:32","2023-04-02 12:08:21","0","NA","100","108","1","2023-04-02 12:08:21","R_xr1fDaBjlIpTj8J","","","","","NA","NA","anonymous","EN","1","2","2","9.017","9.017","19.428","1","0","0","12.035","0","100","0","100","79","62","","","","","","","","","","","","","","","1","1","29","1","","18","3","","FL_39","Q116|vB_mnfctr_liable_AV|vA_liable_AV","Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV","",""
"2023-04-02 12:07:35","2023-04-02 12:08:31","0","NA","100","55","1","2023-04-02 12:08:31","R_3ND0UmLnRlouJa4","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-04-02 12:06:21","2023-04-02 12:08:56","0","NA","100","155","1","2023-04-02 12:08:57","R_2qeJ5Fq02POSLWO","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","2.245","15.89","16.708","3","1.386","1.386","13.695","1","100","0","2","100","24","0","2","1","64","2","","51","3","","FL_40","","","Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable","Q71|vB_cntrfctl|vA_cntrfctl|avoid"
"2023-04-02 12:06:50","2023-04-02 12:09:18","0","NA","100","147","1","2023-04-02 12:09:18","R_31yfWVcwgrxRg3k","","","","","NA","NA","anonymous","EN","1","2","2","","","","","","","","","","","","","","0","0","20.172","0","0","0","11.855","0","100","0","0","100","0","0","2","1","60","2","","36","1","","FL_40","","","Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable","Q71|vB_cntrfctl|vA_cntrfctl|avoid"
"2023-04-02 12:06:28","2023-04-02 12:09:29","0","NA","100","181","1","2023-04-02 12:09:30","R_UDSWtKKlcsXuOB3","","","","","NA","NA","anonymous","EN","1","2","2","2.279","37.588","38.54","4","24.12","24.12","24.686","1","100","0","100","0","0","","","","","","","","","","","","","","","1","1","74","1","","39","4","","FL_39","Q116|vB_mnfctr_liable_AV|vA_liable_AV","Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV","",""
"2023-04-02 12:07:07","2023-04-02 12:09:32","0","NA","100","144","1","2023-04-02 12:09:32","R_1LzL8VK9CQxMVox","","","","","NA","NA","anonymous","EN","1","2","2","0","0","18.705","0","0","0","10.811","0","100","0","100","0","0","","","","","","","","","","","","","","","1","1","0","2","","34","4","","FL_39","Q116|vA_liable_AV|vB_mnfctr_liable_AV","Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV","",""
"2023-04-02 12:06:41","2023-04-02 12:09:45","0","NA","100","184","1","2023-04-02 12:09:45","R_30cuwd2fGGBQuel","","","","","NA","NA","anonymous","EN","1","2","2","0","0","16.64","0","0","0","12.054","0","71","15","71","49","50","","","","","","","","","","","","","","","1","1","50","1","","44","3","","FL_39","Q116|vB_mnfctr_liable_AV|vA_liable_AV","Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV","",""
