"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","av_trust_1_1","av_trust_2_1","av_trust_3_1","av_trust_4_1","av_trust_5_1","Q219_First.Click","Q219_Last.Click","Q219_Page.Submit","Q219_Click.Count","vA_sue_AV_1","vB_mnfctr_sue_AV_1","vA_cntrfctl_AV_1","vB_cntrfctl_AV_1","avoid_AV_1","Q220_First.Click","Q220_Last.Click","Q220_Page.Submit","Q220_Click.Count","vA_sue_1","vB_mnfctr_sue_1","vB_driver_sue_1","vA_cntrfctl_1","vB_cntrfctl_1","avoid_1","comp1","comp_accident","cruise_familiarity","ai_familiarity_1","gender","gender_4_TEXT","age","edu","edu_8_TEXT","FL_4_DO","trust_scale_DO","questions_1_AV_DO","questions_2_AV_DO","questions_1_DO","questions_2_DO"
"Start Date","End Date","Response Type","NA","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","NA","NA","Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","How much do you agree: I would be willing to let a self-driving car make important driving decisions without my involvement. - 1","How much do you agree: If I were unable to monitor my driving activities, I would be willing to trust a self-driving car to get the job done right. - 1","How much do you agree: I trust a self-driving car to do things I can't do myself. - 1","How much do you agree: I trust a self-driving car to do things my vehicle can't do itself. - 1","How much do you agree: I generally do not trust a self-driving car. - 1","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Vehicle B is a fully autonomous self-driving car.



 

Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A to cover the costs of the serious injuries sustained by the pedestrian. - 1","Vehicle B is a fully autonomous self-driving car.



 

Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B to cover the costs of the serious injuries sustained by the pedestrian. - 1","Vehicle B is a fully autonomous self-driving car.



 
Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Vehicle B is a fully autonomous self-driving car.



 
Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Vehicle B is a fully autonomous self-driving car.



 
Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: Vehicle B could have done more to avoid the accident. - 1","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 



How much do you agree: It would be reasonable to sue the driver of Vehicle A to cover the costs of the serious injuries sustained by the pedestrian. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B for the serious injuries sustained by pedestrian. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle B for the serious injuries sustained by pedestrian. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 



How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 



How much do you agree: Vehicle B could have done more to avoid the accident. - 1","Which of the following was true about Vehicle B in the collision scenario of Section 2?","Which of the following was true about the scenario?","When you read the scenario, did you recognize that it was describing a real incident involving the company Cruise?","Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","FL_4 - Block Randomizer - Display Order","trust_scale - Display Order","questions_1_AV - Display Order","questions_2_AV - Display Order","questions_1 - Display Order","questions_2 - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","NA","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","NA","NA","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID242_1""}","{""ImportId"":""QID243_1""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID245_1""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID237_FIRST_CLICK""}","{""ImportId"":""QID237_LAST_CLICK""}","{""ImportId"":""QID237_PAGE_SUBMIT""}","{""ImportId"":""QID237_CLICK_COUNT""}","{""ImportId"":""QID203_1""}","{""ImportId"":""QID226_1""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID211_1""}","{""ImportId"":""QID238_FIRST_CLICK""}","{""ImportId"":""QID238_LAST_CLICK""}","{""ImportId"":""QID238_PAGE_SUBMIT""}","{""ImportId"":""QID238_CLICK_COUNT""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID240_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID239""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""BL_basPWfJ50vvkyJ8_DO""}","{""ImportId"":""BL_eEi5AkmXDuQVqAK_DO""}","{""ImportId"":""BL_cvGeqPyU6eYO754_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}"
"2024-05-09 09:16:09","2024-05-09 09:16:47","0","NA","100","37","1","2024-05-09 09:16:47","R_2OCQfXxJoVmce36","","","","","NA","NA","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-05-09 09:14:28","2024-05-09 09:17:30","0","NA","100","181","1","2024-05-09 09:17:30","R_2QofNDtKbcqRxKl","","","","","NA","NA","anonymous","EN","1","2","2","75","80","81","90","74","","","","","","","","","","0","0","4.635","0","91","42","44","90","74","80","2","2","1","60","1","","34","4","","FL_40","Q241|av_trust_4|av_trust_3|av_trust_5|av_trust_2|av_trust_1","","","Q90|vA_sue|vB_driver_sue|vB_mnfctr_sue","Q71|avoid|vB_cntrfctl|vA_cntrfctl"
"2024-05-09 09:14:40","2024-05-09 09:17:31","0","NA","100","171","1","2024-05-09 09:17:32","R_10i35tCs9SssKfa","","","","","NA","NA","anonymous","EN","1","2","2","73","79","79","77","17","","","","","","","","","","0","0","25.011","0","82","63","72","69","67","69","2","1","2","79","2","","31","4","","FL_40","Q241|av_trust_4|av_trust_2|av_trust_1|av_trust_5|av_trust_3","","","Q90|vA_sue|vB_mnfctr_sue|vB_driver_sue","Q71|avoid|vA_cntrfctl|vB_cntrfctl"
"2024-05-09 09:14:31","2024-05-09 09:17:44","0","NA","100","192","1","2024-05-09 09:17:44","R_7KdvEMNBQyPJKff","","","","","NA","NA","anonymous","EN","1","2","2","73","89","66","75","72","0","0","9.736","0","75","73","80","75","78","","","","","","","","","","","2","2","2","73","1","","32","4","","FL_39","Q241|av_trust_5|av_trust_2|av_trust_3|av_trust_4|av_trust_1","Q116|vB_mnfctr_sue_AV|vA_sue_AV","Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV","",""
"2024-05-09 09:14:55","2024-05-09 09:17:48","0","NA","100","172","1","2024-05-09 09:17:48","R_1veL0EAxbS8aDiQ","","","","","NA","NA","anonymous","EN","1","2","2","40","69","65","74","40","","","","","","","","","","0","0","31.45","0","70","20","20","100","61","30","2","1","2","30","2","","49","6","","FL_40","Q241|av_trust_3|av_trust_4|av_trust_2|av_trust_1|av_trust_5","","","Q90|vA_sue|vB_mnfctr_sue|vB_driver_sue","Q71|vB_cntrfctl|vA_cntrfctl|avoid"
"2024-05-09 09:14:40","2024-05-09 09:17:48","0","NA","100","188","1","2024-05-09 09:17:49","R_1W1kHQls8GQv4id","","","","","NA","NA","anonymous","EN","1","2","2","99","81","77","79","91","0","0","7.913","0","100","77","68","83","69","","","","","","","","","","","1","1","1","77","2","","38","5","","FL_39","Q241|av_trust_4|av_trust_5|av_trust_3|av_trust_1|av_trust_2","Q116|vB_mnfctr_sue_AV|vA_sue_AV","Q122|avoid_AV|vA_cntrfctl_AV|vB_cntrfctl_AV","",""
"2024-05-09 09:16:40","2024-05-09 09:17:52","0","NA","100","71","1","2024-05-09 09:17:52","R_21Fk1Ez4WLSJXYH","","","","","NA","NA","anonymous","EN","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-05-09 09:15:12","2024-05-09 09:17:56","0","NA","100","163","1","2024-05-09 09:17:56","R_29hOt1l16qWVdJ9","","","","","NA","NA","anonymous","EN","1","2","2","38","60","78","60","47","","","","","","","","","","2.466","6.125","7.954","4","63","78","76","63","61","81","1","1","2","70","1","","33","6","","FL_40","Q241|av_trust_3|av_trust_2|av_trust_1|av_trust_4|av_trust_5","","","Q90|vB_driver_sue|vB_mnfctr_sue|vA_sue","Q71|avoid|vA_cntrfctl|vB_cntrfctl"
