"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent_q","att1","att2","Q219_First.Click","Q219_Last.Click","Q219_Page.Submit","Q219_Click.Count","vA_sue_AV_1","vB_mnfctr_liab_1_AV_1","vB_mnfctr_liab_2_AV_1","vA_cntrfctl_AV_1","vB_cntrfctl_AV_1_1","vB_cntrfctl_AV_2_1","Q220_First.Click","Q220_Last.Click","Q220_Page.Submit","Q220_Click.Count","vA_sue_1","vB_mnfctr_liab_1_1","vB_mnfctr_liab_2_1","vA_cntrfctl_1","vB_cntrfctl_1_1","vB_cntrfctl_2_1","counterfactual_HDV","counterfactual_AV","coder_1","coder_2","category_coder1","category_coder2","comp1","comp_accident","cruise_familiarity","ai_familiarity_1","gender","gender_4_TEXT","age","edu","edu_8_TEXT"
"10/29/24 12:03","10/29/24 12:06",0,"NA",100,175,1,"10/29/24 12:06","R_52c0Nj0WT0kAs1W",NA,NA,NA,NA,"NA","NA","anonymous","EN",0.600000024,1,2,2,0,0,5.879,0,66,63,63,76,58,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","this makes me to force me bad",1,1,NA,NA,1,1,1,60,2,"",32,4,""
"10/29/24 12:04","10/29/24 12:08",0,"NA",100,277,1,"10/29/24 12:08","R_3013pdsKKpDolMD",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.383,42.767,47.551,13,100,100,10,100,100,100,"If only the pedestrian and Vehicle A have been paying more careful attention. If only we didn't rely so much on cars in this country. If only we were a more walkable city. If only the pedestrian didn't have to go out that day. If only crosswalks were safer.","",1,1,NA,NA,2,1,2,0,1,"",31,4,""
"10/29/24 12:05","10/29/24 12:08",0,"NA",100,228,1,"10/29/24 12:08","R_1ix6gpiC78SOcDP",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,23.301,0,90,0,0,100,70,61,"the first vehicle stopped.

both drivers were more aware of what was going on.

they didn't go into the crosswalk at that time.","",1,1,NA,NA,2,1,2,5,1,"",38,1,""
"10/29/24 12:05","10/29/24 12:09",0,"NA",100,247,1,"10/29/24 12:09","R_36zTRvgDodA2PE5",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,0,0,49.57,0,65,13,8,83,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","If only the driver of vehicle A had been paying enough attention to take evasive action. If only the pedestrian had been more careful about stepping into the road.",1,1,NA,NA,1,1,2,66,1,"",33,4,""
"10/29/24 12:06","10/29/24 12:13",0,"NA",100,390,1,"10/29/24 12:13","R_31cCUXMEWguMMqL",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.445,56.175,56.901,16,61,7,14,85,60,55,"If only vehicle A had used his brakes. If only vehicle A had seen the pedestrian. If only the pedestrian didn't cross when the other cars had the right of way. ","",1,1,NA,NA,2,1,2,67,2,"",47,3,""
"10/29/24 12:16","10/29/24 12:23",0,"NA",100,427,1,"10/29/24 12:23","R_3eQOrYDrEv0I12p",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.78,39.78,40.325,1,100,10,10,100,80,25,"If only he had looked before crossing the street.
If only Vehicle A had slowed down and applied breaks.","",1,1,NA,NA,2,1,2,20,2,"",34,4,""
"10/29/24 12:18","10/29/24 12:25",0,"NA",100,396,1,"10/29/24 12:25","R_5PMu1dxV2hFW9Gy",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.805,82.112,84.758,6,30,0,0,55,8,0,"If only they hadn't walked into the street at that time. If only they had paid attention to the crosswalk signs better.","",1,1,NA,NA,2,1,2,0,2,"",40,1,""
"10/29/24 12:19","10/29/24 12:29",0,"NA",100,601,1,"10/29/24 12:29","R_7P2luRirNFhPpmh",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,0,0,86.021,0,75,8,5,50,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","the driver was paying attention.
the light had not turned yet.",1,1,NA,NA,1,1,2,0,2,"",34,3,""
"10/29/24 12:28","10/29/24 12:34",0,"NA",100,348,1,"10/29/24 12:34","R_7FFyfv9qoWaQP8H",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.078,48.302,49.863,19,65,30,30,80,55,55,"If only I gave them a ride, If only I didn't text them","",1,1,NA,NA,2,1,2,0,2,"",26,3,""
"10/29/24 12:29","10/29/24 12:35",0,"NA",100,381,1,"10/29/24 12:35","R_12xpV9M4OIq8wE1",NA,NA,NA,NA,"NA","NA","anonymous","EN",1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,79.14,0,100,0,0,100,80,80,"If only he haad not stepped into the crosswalk once the traffic light changed. If only that first car had seen him or had tried to slow down.","",1,1,NA,NA,2,1,2,50,1,"",70,7,""
